Combination,Cohesive energy,Melting point,Volume,Density,Average mass,Covalent radius(pm),Atomic mismatch,Mulliken,Pauling,Pseudopotential,Min radius,ENTROPY,VEC,Enthalpy 
"('Hf', 'Nb', 'Tc', 'Ru', 'Au')",6.282,2321.0,10.256,12.856,133.46860000000000,114.8,0.0638876564999954,4.2459,1.908,2.177,0.419355,13.380,7.0,-38.08
"('Hf', 'Nb', 'Tc', 'Ru', 'Al')",6.198,2240.2,10.214,9.536000000000000,99.471,112.4,0.0780458667700651,3.7347,1.722,1.98,0.419355,13.380,5.4,-43.2
"('Hf', 'Nb', 'Tc', 'Ru', 'In')",6.024,2139.6,11.366,10.458000000000000,117.0386,119.4,0.0708197154665668,3.70922,1.756,2.055,0.419,13.380,5.4,-24.64
"('Hf', 'Nb', 'Tc', 'Ru', 'La')",6.414,2292.2,12.6912,10.226,121.8566,118.0,0.152313643457768,3.69952,1.62,2.261,0.333,13.380,5.4,-27.52
"('Hf', 'Nb', 'Tc', 'Ta', 'W')",7.572,2928.2,10.644,13.7052,146.8186,116.4,0.0523308725422913,3.9064,1.732,2.229,0.419355,13.380,5.4,-22.24
"('Hf', 'Nb', 'Tc', 'Ta', 'Ir')",7.18,2728.2,10.454000000000000,14.367800000000000,148.4946,114.8,0.0523308725422913,4.0922,1.7,2.2076,0.419355,13.380,6.0,-45.76
"('Hf', 'Nb', 'Tc', 'Ta', 'Au')",6.554,2459.0,10.792,13.716,149.44460000000000,118.0,0.0523308725422913,4.1926,1.768,2.214,0.419355,13.380,6.4,-35.84
"('Hf', 'Nb', 'Tc', 'Ta', 'Al')",6.470000000000000,2378.2,10.75,10.396,115.44700000000000,115.6,0.0723265179233008,3.6814,1.582,2.017,0.419355,13.380,4.8,-33.12
"('Hf', 'Nb', 'Tc', 'Ta', 'In')",6.296,2277.6,11.902,11.318000000000000,133.01460000000000,122.6,0.0509069032214127,3.65592,1.616,2.092,0.419,13.380,4.8,-14.4
"('Hf', 'Nb', 'Tc', 'Ta', 'La')",6.686,2430.2,13.2272,11.086,137.83260000000000,121.2,0.135330173957438,3.64622,1.48,2.298,0.333,13.380,4.8,-8
"('Hf', 'Nb', 'Tc', 'W', 'Ir')",7.340000000000000,2810.2,10.178,14.937000000000000,149.07260000000000,114.0,0.0567375886524809,4.1725,1.872,2.1966,0.419355,13.380,6.2,-38.24
"('Hf', 'Nb', 'Tc', 'W', 'Au')",6.714,2541.0,10.516,14.2852,150.0226,117.2,0.0567375886524809,4.2729,1.94,2.203,0.419355,13.380,6.6,-27.04
"('Hf', 'Nb', 'Tc', 'W', 'Al')",6.63,2460.2,10.474,10.965200000000000,116.025,114.8,0.073367187245938,3.7617,1.754,2.006,0.419355,13.380,5.0,-28.64
"('Hf', 'Nb', 'Tc', 'W', 'In')",6.456,2359.6,11.626,11.887200000000000,133.5926,121.8,0.0616846338620633,3.73622,1.788,2.081,0.419,13.380,5.0,-8.64
"('Hf', 'Nb', 'Tc', 'W', 'La')",6.846000000000000,2512.2,12.9512,11.6552,138.4106,120.4,0.145562467002093,3.72652,1.652,2.287,0.333,13.380,5.0,-6.4
"('Hf', 'Nb', 'Tc', 'Ir', 'Au')",6.322,2341.0,10.326,14.9478,151.6986,115.6,0.0567375886524809,4.4587,1.908,2.1816,0.419355,13.380,7.2,-43.2
"('Hf', 'Nb', 'Tc', 'Ir', 'Al')",6.238,2260.2,10.284,11.627800000000000,117.701,113.2,0.073367187245938,3.9475,1.722,1.9846,0.419355,13.380,5.6,-49.44
"('Hf', 'Nb', 'Tc', 'Ir', 'In')",6.064,2159.6,11.436,12.549800000000000,135.26860000000000,120.2,0.0616846338620633,3.92202,1.756,2.0596,0.419,13.380,5.6,-31.04
"('Hf', 'Nb', 'Tc', 'Ir', 'La')",6.454000000000000,2312.2,12.761200000000000,12.317800000000000,140.0866,118.8,0.145562467002093,3.91232,1.62,2.2656,0.333,13.380,5.6,-35.52
"('Hf', 'Nb', 'Tc', 'Au', 'Al')",5.612,1991.0,10.622,10.976000000000000,118.651,116.4,0.073367187245938,4.0479,1.79,1.991,0.419355,13.380,6.0,-41.44
"('Hf', 'Nb', 'Tc', 'Au', 'In')",5.438,1890.4,11.774,11.898000000000000,136.2186,123.4,0.0616846338620633,4.02242,1.824,2.066,0.419,13.380,6.0,-26.08
"('Hf', 'Nb', 'Tc', 'Au', 'La')",5.828000000000000,2043.0,13.0992,11.666,141.0366,122.0,0.145562467002093,4.01272,1.688,2.272,0.333,13.380,6.0,-32.8
