Combination,Cohesive energy,Melting point,Volume,Density,Average mass,Covalent radius(pm),Atomic mismatch,Mulliken,Pauling,Pseudopotential,Min radius,ENTROPY,VEC,Enthalpy 
"('Ti', 'Zr', 'Ni', 'Al', 'La')",4.6900000000000000,1582.0,12.728,5.7542,72.73520000000000,116.0,0.163299316185545,3.52652,1.498,1.928,0.333,13.380,4.8,-33.92
"('Ti', 'Zr', 'Ni', 'In', 'La')",4.516,1481.4,13.88,6.6762,90.3028,123.0,0.135072484010933,3.50104,1.532,2.003,0.333,13.380,4.8,-23.2
"('Ti', 'Zr', 'Y', 'Nb', 'Mo')",5.982,2297.8,12.950800000000000,6.8538000000000000,83.3706,116.4,0.105506992267999,3.6009,1.57,2.225,0.351351,13.380,4.4,10.88
"('Ti', 'Zr', 'Y', 'Nb', 'Tc')",5.9880000000000000,2208.8,12.800800000000000,7.013800000000000,83.762,115.8,0.116949926543624,3.6002,1.518,2.211,0.351351,13.380,4.6,-15.52
"('Ti', 'Zr', 'Y', 'Nb', 'Ru')",5.966000000000000,2236.4,12.7088,7.2338000000000000,84.3946,114.4,0.124601905445211,3.6578,1.578,2.202,0.351351,13.380,4.8,-18.72
"('Ti', 'Zr', 'Y', 'Nb', 'Ta')",6.2380000000000000,2374.4,13.244800000000000,8.0938,100.3706,117.6,0.105506992267999,3.6045,1.438,2.239,0.351351,13.380,4.2,14.56
"('Ti', 'Zr', 'Y', 'Nb', 'W')",6.398000000000000,2456.4,12.968800000000000,8.663,100.94860000000000,116.8,0.116949926543624,3.6848,1.61,2.228,0.351351,13.380,4.4,9.76
"('Ti', 'Zr', 'Y', 'Nb', 'Ir')",6.006,2256.4,12.778800000000000,9.3256,102.62460000000000,115.2,0.116949926543624,3.8706,1.578,2.2066,0.351351,13.380,5.0,-28.64
"('Ti', 'Zr', 'Y', 'Nb', 'Au')",5.38,1987.2,13.116800000000000,8.6738,103.5746,118.4,0.116949926543624,3.971,1.646,2.213,0.351351,13.380,5.4,-26.72
"('Ti', 'Zr', 'Y', 'Nb', 'Al')",5.296,1906.4,13.0748,5.353800000000000,69.577,116.0,0.133333333333332,3.4598,1.46,2.016,0.351351,13.380,3.8,-11.2
"('Ti', 'Zr', 'Y', 'Nb', 'In')",5.122,1805.8,14.2268,6.2758,87.1446,123.0,0.100131406101369,3.43432,1.494,2.091,0.351351,13.380,3.8,1.44
"('Ti', 'Zr', 'Y', 'Nb', 'La')",5.512,1958.4,15.552000000000000,6.0438,91.9626,121.6,0.134146341463413,3.42462,1.358,2.297,0.333,13.380,3.8,20.64
"('Ti', 'Zr', 'Y', 'Mo', 'Tc')",5.838000000000000,2237.8,12.5108,7.3378,84.3708,115.2,0.116949926543624,3.6162,1.63,2.203,0.351351,13.380,4.8,-15.04
"('Ti', 'Zr', 'Y', 'Mo', 'Ru')",5.816,2265.4,12.418800000000000,7.5578,85.0034,113.8,0.124601905445211,3.6738,1.69,2.194,0.351351,13.380,5.0,-17.92
"('Ti', 'Zr', 'Y', 'Mo', 'Ta')",6.088000000000000,2403.4,12.9548,8.4178,100.9794,117.0,0.105506992267999,3.6205,1.55,2.231,0.351351,13.380,4.4,10.24
"('Ti', 'Zr', 'Y', 'Mo', 'W')",6.248,2485.4,12.678800000000000,8.987,101.5574,116.2,0.116949926543624,3.7008,1.722,2.22,0.351351,13.380,4.6,7.52
"('Ti', 'Zr', 'Y', 'Mo', 'Ir')",5.856,2285.4,12.488800000000000,9.649600000000000,103.2334,114.6,0.116949926543624,3.8866,1.69,2.1986,0.351351,13.380,5.2,-27.04
"('Ti', 'Zr', 'Y', 'Mo', 'Au')",5.2300000000000000,2016.2,12.8268,8.997800000000000,104.1834,117.8,0.116949926543624,3.987,1.758,2.205,0.351351,13.380,5.6,-24.64
"('Ti', 'Zr', 'Y', 'Mo', 'Al')",5.146,1935.4,12.7848,5.6778000000000000,70.1858,115.4,0.133333333333332,3.4758,1.572,2.008,0.351351,13.380,4.0,-12.64
"('Ti', 'Zr', 'Y', 'Mo', 'In')",4.9720000000000000,1834.8,13.9368,6.5998,87.7534,122.4,0.100131406101369,3.45032,1.606,2.083,0.351351,13.380,4.0,0.8
"('Ti', 'Zr', 'Y', 'Mo', 'La')",5.362,1987.4,15.262,6.3678,92.5714,121.0,0.134146341463413,3.44062,1.47,2.289,0.333,13.380,4.0,16.32
"('Ti', 'Zr', 'Y', 'Tc', 'Ru')",5.822,2176.4,12.2688,7.7178000000000000,85.3948,113.2,0.133217672760262,3.6731,1.638,2.18,0.351351,13.380,5.2,-37.28
"('Ti', 'Zr', 'Y', 'Tc', 'Ta')",6.094000000000000,2314.4,12.8048,8.5778,101.3708,116.4,0.116949926543624,3.6198,1.498,2.217,0.351351,13.380,4.6,-16.16
"('Ti', 'Zr', 'Y', 'Tc', 'W')",6.254,2396.4,12.5288,9.147,101.9488,115.6,0.126491106406734,3.7001,1.67,2.206,0.351351,13.380,4.8,-15.2
"('Ti', 'Zr', 'Y', 'Tc', 'Ir')",5.862,2196.4,12.3388,9.8096,103.62480000000000,114.0,0.126491106406734,3.8859,1.638,2.1846,0.351351,13.380,5.4,-45.6
"('Ti', 'Zr', 'Y', 'Tc', 'Au')",5.236000000000000,1927.2,12.6768,9.1578,104.57480000000000,117.2,0.126491106406734,3.9863,1.706,2.191,0.351351,13.380,5.8,-44.48
"('Ti', 'Zr', 'Y', 'Tc', 'Al')",5.152000000000000,1846.4,12.6348,5.8378,70.57720000000000,114.8,0.141085223093386,3.4751,1.52,1.994,0.351351,13.380,4.2,-36.64
"('Ti', 'Zr', 'Y', 'Tc', 'In')",4.978,1745.8,13.7868,6.7598,88.1448,121.8,0.113218154377679,3.44962,1.554,2.069,0.351351,13.380,4.2,-24.32
"('Ti', 'Zr', 'Y', 'Tc', 'La')",5.368000000000000,1898.4,15.112,6.527800000000000,92.96280000000000,120.4,0.148148148148148,3.43992,1.418,2.275,0.333,13.380,4.2,-13.92
"('Ti', 'Zr', 'Y', 'Ru', 'Ta')",6.072,2342.0,12.7128,8.797800000000000,102.0034,115.0,0.124601905445211,3.6774,1.558,2.208,0.351351,13.380,4.8,-19.2
"('Ti', 'Zr', 'Y', 'Ru', 'W')",6.232000000000000,2424.0,12.4368,9.367000000000000,102.5814,114.2,0.133217672760262,3.7577,1.73,2.197,0.351351,13.380,5.0,-18.08
"('Ti', 'Zr', 'Y', 'Ru', 'Ir')",5.84,2224.0,12.246800000000000,10.029600000000000,104.2574,112.6,0.133217672760262,3.9435,1.698,2.1756,0.351351,13.380,5.6,-47.84
"('Ti', 'Zr', 'Y', 'Ru', 'Au')",5.2140000000000000,1954.8,12.5848,9.377800000000000,105.2074,115.8,0.133217672760262,4.0439,1.766,2.182,0.351351,13.380,6.0,-46.72
"('Ti', 'Zr', 'Y', 'Ru', 'Al')",5.13,1874.0,12.5428,6.057800000000000,71.2098,113.4,0.146850565611719,3.5327,1.58,1.985,0.351351,13.380,4.4,-39.2
"('Ti', 'Zr', 'Y', 'Ru', 'In')",4.9560000000000000,1773.4,13.6948,6.9798,88.7774,120.4,0.121575655148618,3.50722,1.614,2.06,0.351351,13.380,4.4,-26.88
"('Ti', 'Zr', 'Y', 'Ru', 'La')",5.346000000000000,1926.0,15.02,6.7478,93.5954,119.0,0.156393519403903,3.49752,1.478,2.266,0.333,13.380,4.4,-17.12
"('Ti', 'Zr', 'Y', 'Ta', 'W')",6.504,2562.0,12.972800000000000,10.227,118.5574,117.4,0.116949926543624,3.7044,1.59,2.234,0.351351,13.380,4.4,9.12
"('Ti', 'Zr', 'Y', 'Ta', 'Ir')",6.112,2362.0,12.7828,10.8896,120.2334,115.8,0.116949926543624,3.8902,1.558,2.2126,0.351351,13.380,5.0,-29.28
"('Ti', 'Zr', 'Y', 'Ta', 'Au')",5.486000000000000,2092.8,13.1208,10.2378,121.1834,119.0,0.116949926543624,3.9906,1.626,2.219,0.351351,13.380,5.4,-27.52
"('Ti', 'Zr', 'Y', 'Ta', 'Al')",5.402000000000000,2012.0,13.078800000000000,6.9178,87.1858,116.6,0.133333333333332,3.4794,1.44,2.022,0.351351,13.380,3.8,-12.16
"('Ti', 'Zr', 'Y', 'Ta', 'In')",5.228,1911.4,14.230800000000000,7.839800000000000,104.75340000000000,123.6,0.100131406101369,3.45392,1.474,2.097,0.351351,13.380,3.8,0.32
"('Ti', 'Zr', 'Y', 'Ta', 'La')",5.618000000000000,2064.0,15.556000000000000,7.6078,109.5714,122.2,0.134146341463413,3.44422,1.338,2.303,0.333,13.380,3.8,19.36
"('Ti', 'Zr', 'Y', 'W', 'Ir')",6.272,2444.0,12.506800000000000,11.4588,120.8114,115.0,0.126491106406734,3.9705,1.73,2.2016,0.351351,13.380,5.2,-27.04
"('Ti', 'Zr', 'Y', 'W', 'Au')",5.646,2174.8,12.844800000000000,10.807000000000000,121.76140000000000,118.2,0.126491106406734,4.0709,1.798,2.208,0.351351,13.380,5.6,-24
"('Ti', 'Zr', 'Y', 'W', 'Al')",5.562,2094.0,12.8028,7.487,87.76380000000000,115.8,0.141085223093386,3.5597,1.612,2.011,0.351351,13.380,4.0,-12.96
"('Ti', 'Zr', 'Y', 'W', 'In')",5.388,1993.4,13.9548,8.409,105.33140000000000,122.8,0.113218154377679,3.53422,1.646,2.086,0.351351,13.380,4.0,0.8
"('Ti', 'Zr', 'Y', 'W', 'La')",5.7780000000000000,2146.0,15.280000000000000,8.177,110.14940000000000,121.4,0.148148148148148,3.52452,1.51,2.292,0.333,13.380,4.0,15.68
"('Ti', 'Zr', 'Y', 'Ir', 'Au')",5.254,1974.8,12.654800000000000,11.4696,123.4374,116.6,0.126491106406734,4.2567,1.766,2.1866,0.351351,13.380,6.2,-55.04
"('Ti', 'Zr', 'Y', 'Ir', 'Al')",5.17,1894.0,12.612800000000000,8.149600000000000,89.43980000000000,114.2,0.141085223093386,3.7455,1.58,1.9896,0.351351,13.380,4.6,-48.64
"('Ti', 'Zr', 'Y', 'Ir', 'In')",4.996,1793.4,13.7648,9.0716,107.0074,121.2,0.113218154377679,3.72002,1.614,2.0646,0.351351,13.380,4.6,-36.48
"('Ti', 'Zr', 'Y', 'Ir', 'La')",5.386,1946.0,15.090000000000000,8.8396,111.82540000000000,119.8,0.148148148148148,3.71032,1.478,2.2706,0.333,13.380,4.6,-28.32
"('Ti', 'Zr', 'Y', 'Au', 'Al')",4.544,1624.8,12.950800000000000,7.497800000000000,90.3898,117.4,0.141085223093386,3.8459,1.648,1.996,0.351351,13.380,5.0,-48.8
"('Ti', 'Zr', 'Y', 'Au', 'In')",4.370000000000000,1524.2,14.102800000000000,8.4198,107.9574,124.4,0.113218154377679,3.82042,1.682,2.071,0.351351,13.380,5.0,-39.68
"('Ti', 'Zr', 'Y', 'Au', 'La')",4.76,1676.8,15.428,8.1878,112.77540000000000,123.0,0.148148148148148,3.81072,1.546,2.277,0.333,13.380,5.0,-33.76
"('Ti', 'Zr', 'Y', 'Al', 'In')",4.286,1443.4,14.0608,5.0998,73.9598,122.0,0.13091939961929,3.30922,1.496,1.874,0.351351,13.380,3.4,-23.52
"('Ti', 'Zr', 'Y', 'Al', 'La')",4.676,1596.0,15.386,4.8678,78.7778,120.6,0.165359456941537,3.29952,1.36,2.08,0.333,13.380,3.4,-14.88
"('Ti', 'Zr', 'Y', 'In', 'La')",4.502,1495.4,16.538,5.7898,96.3454,127.6,0.124043736638397,3.27404,1.394,2.155,0.333,13.380,3.4,-7.68
"('Ti', 'Zr', 'Nb', 'Mo', 'Tc')",6.478,2427.6,10.700800000000000,8.16,85.1708,113.6,0.0460642331993807,3.7312,1.706,2.167,0.419355,13.380,5.2,-23.84
"('Ti', 'Zr', 'Nb', 'Mo', 'Ru')",6.456,2455.2,10.6088,8.380000000000000,85.8034,112.2,0.0568114573750751,3.7888,1.766,2.158,0.419355,13.380,5.4,-26.72
"('Ti', 'Zr', 'Nb', 'Mo', 'Ta')",6.728,2593.2,11.1448,9.24,101.7794,115.4,0.0335546540107291,3.7355,1.626,2.195,0.419355,13.380,4.8,-1.76
"('Ti', 'Zr', 'Nb', 'Mo', 'W')",6.888,2675.2,10.8688,9.8092,102.35740000000000,114.6,0.0460642331993807,3.8158,1.798,2.184,0.419355,13.380,5.0,-5.28
"('Ti', 'Zr', 'Nb', 'Mo', 'Ir')",6.4960000000000000,2475.2,10.6788,10.4718,104.0334,113.0,0.0460642331993807,4.0016,1.766,2.1626,0.419355,13.380,5.6,-34.72
"('Ti', 'Zr', 'Nb', 'Mo', 'Au')",5.870000000000000,2206.0,11.0168,9.82,104.9834,116.2,0.0460642331993807,4.102,1.834,2.169,0.419355,13.380,6.0,-25.6
"('Ti', 'Zr', 'Nb', 'Mo', 'Al')",5.786,2125.2,10.9748,6.5,70.9858,113.8,0.0689997110643155,3.5908,1.648,1.972,0.419355,13.380,4.4,-17.12
"('Ti', 'Zr', 'Nb', 'Mo', 'In')",5.612,2024.6,12.1268,7.422,88.5534,120.8,0.0405405405405418,3.56532,1.682,2.047,0.419,13.380,4.4,1.28
"('Ti', 'Zr', 'Nb', 'Mo', 'La')",6.002,2177.2,13.452000000000000,7.19,93.3714,119.4,0.12884455924514,3.55562,1.546,2.253,0.333,13.380,4.4,14.4
"('Ti', 'Zr', 'Nb', 'Tc', 'Ru')",6.462000000000000,2366.2,10.4588,8.540000000000000,86.1948,111.6,0.0610093990570385,3.7881,1.714,2.144,0.419355,13.380,5.6,-42.4
"('Ti', 'Zr', 'Nb', 'Tc', 'Ta')",6.734,2504.2,10.994800000000000,9.4,102.1708,114.8,0.0460642331993807,3.7348,1.574,2.181,0.419355,13.380,5.0,-24.48
"('Ti', 'Zr', 'Nb', 'Tc', 'W')",6.894,2586.2,10.7188,9.9692,102.7488,114.0,0.0526993998137181,3.8151,1.746,2.17,0.419355,13.380,5.2,-24.32
"('Ti', 'Zr', 'Nb', 'Tc', 'Ir')",6.502,2386.2,10.5288,10.631800000000000,104.4248,112.4,0.0526993998137181,4.0009,1.714,2.1486,0.419355,13.380,5.8,-49.6
"('Ti', 'Zr', 'Nb', 'Tc', 'Au')",5.8760000000000000,2117.0,10.866800000000000,9.98,105.37480000000000,115.6,0.0526993998137181,4.1013,1.782,2.155,0.419355,13.380,6.2,-41.76
"('Ti', 'Zr', 'Nb', 'Tc', 'Al')",5.792,2036.2,10.8248,6.660000000000000,71.37720000000000,113.2,0.0714285714285727,3.5901,1.596,1.958,0.419355,13.380,4.6,-37.44
"('Ti', 'Zr', 'Nb', 'Tc', 'In')",5.618,1935.6,11.9768,7.582000000000000,88.9448,120.2,0.054794520547946,3.56462,1.63,2.033,0.419,13.380,4.6,-20.16
"('Ti', 'Zr', 'Nb', 'Tc', 'La')",6.008,2088.2,13.302000000000000,7.35,93.7628,118.8,0.139874410574923,3.55492,1.494,2.239,0.333,13.380,4.6,-12.16
"('Ti', 'Zr', 'Nb', 'Ru', 'Ta')",6.712000000000000,2531.8,10.902800000000000,9.620000000000000,102.80340000000000,113.4,0.0568114573750751,3.7924,1.634,2.172,0.419355,13.380,5.2,-27.52
"('Ti', 'Zr', 'Nb', 'Ru', 'W')",6.872,2613.8,10.6268,10.1892,103.38140000000000,112.6,0.0610093990570385,3.8727,1.806,2.161,0.419355,13.380,5.4,-27.2
"('Ti', 'Zr', 'Nb', 'Ru', 'Ir')",6.4800000000000000,2413.8,10.4368,10.8518,105.0574,111.0,0.0610093990570385,4.0585,1.774,2.1396,0.419355,13.380,6.0,-51.84
"('Ti', 'Zr', 'Nb', 'Ru', 'Au')",5.854,2144.6,10.7748,10.2,106.0074,114.2,0.0610093990570385,4.1589,1.842,2.146,0.419355,13.380,6.4,-44
"('Ti', 'Zr', 'Nb', 'Ru', 'Al')",5.7700000000000000,2063.8,10.732800000000000,6.880000000000000,72.0098,111.8,0.0768135126045406,3.6477,1.656,1.949,0.419355,13.380,4.8,-40
"('Ti', 'Zr', 'Nb', 'Ru', 'In')",5.596,1963.2,11.8848,7.802000000000000,89.5774,118.8,0.0654264343483117,3.62222,1.69,2.024,0.419,13.380,4.8,-22.72
"('Ti', 'Zr', 'Nb', 'Ru', 'La')",5.986,2115.8,13.210000000000000,7.57,94.3954,117.4,0.147022508224863,3.61252,1.554,2.23,0.333,13.380,4.8,-15.36
"('Ti', 'Zr', 'Nb', 'Ta', 'W')",7.144,2751.8,11.1628,11.049200000000000,119.35740000000000,115.8,0.0460642331993807,3.8194,1.666,2.198,0.419355,13.380,4.8,-3.2
"('Ti', 'Zr', 'Nb', 'Ta', 'Ir')",6.752,2551.8,10.972800000000000,11.7118,121.0334,114.2,0.0460642331993807,4.0052,1.634,2.1766,0.419355,13.380,5.4,-36.48
"('Ti', 'Zr', 'Nb', 'Ta', 'Au')",6.1260000000000000,2282.6,11.3108,11.060000000000000,121.9834,117.4,0.0460642331993807,4.1056,1.702,2.183,0.419355,13.380,5.8,-28
"('Ti', 'Zr', 'Nb', 'Ta', 'Al')",6.042,2201.8,11.2688,7.74,87.9858,115.0,0.0689997110643155,3.5944,1.516,1.986,0.419355,13.380,4.2,-16.16
"('Ti', 'Zr', 'Nb', 'Ta', 'In')",5.868,2101.2,12.4208,8.662,105.55340000000000,122.0,0.0405405405405418,3.56892,1.55,2.061,0.419,13.380,4.2,1.28
"('Ti', 'Zr', 'Nb', 'Ta', 'La')",6.258,2253.8,13.746,8.43,110.3714,120.6,0.12884455924514,3.55922,1.414,2.267,0.333,13.380,4.2,17.92
"('Ti', 'Zr', 'Nb', 'W', 'Ir')",6.912000000000000,2633.8,10.6968,12.281,121.6114,113.4,0.0526993998137181,4.0855,1.806,2.1656,0.419355,13.380,5.6,-35.04
"('Ti', 'Zr', 'Nb', 'W', 'Au')",6.286,2364.6,11.0348,11.6292,122.5614,116.6,0.0526993998137181,4.1859,1.874,2.172,0.419355,13.380,6.0,-25.28
"('Ti', 'Zr', 'Nb', 'W', 'Al')",6.202,2283.8,10.992800000000000,8.3092,88.56380000000000,114.2,0.0714285714285727,3.6747,1.688,1.975,0.419355,13.380,4.4,-17.76
"('Ti', 'Zr', 'Nb', 'W', 'In')",6.028,2183.2,12.1448,9.231200000000000,106.13140000000000,121.2,0.054794520547946,3.64922,1.722,2.05,0.419,13.380,4.4,0.96
"('Ti', 'Zr', 'Nb', 'W', 'La')",6.418000000000000,2335.8,13.470000000000000,8.9992,110.9494,119.8,0.139874410574923,3.63952,1.586,2.256,0.333,13.380,4.4,13.44
"('Ti', 'Zr', 'Nb', 'Ir', 'Au')",5.894,2164.6,10.8448,12.2918,124.23740000000000,115.0,0.0526993998137181,4.3717,1.842,2.1506,0.419355,13.380,6.6,-51.2
"('Ti', 'Zr', 'Nb', 'Ir', 'Al')",5.8100000000000000,2083.8,10.8028,8.971800000000000,90.23980000000000,112.6,0.0714285714285727,3.8605,1.656,1.9536,0.419355,13.380,5.0,-48.32
"('Ti', 'Zr', 'Nb', 'Ir', 'In')",5.636,1983.2,11.954800000000000,9.893800000000000,107.8074,119.6,0.054794520547946,3.83502,1.69,2.0286,0.419,13.380,5.0,-31.2
"('Ti', 'Zr', 'Nb', 'Ir', 'La')",6.026,2135.8,13.280000000000000,9.661800000000000,112.62540000000000,118.2,0.139874410574923,3.82532,1.554,2.2346,0.333,13.380,5.0,-25.44
"('Ti', 'Zr', 'Nb', 'Au', 'Al')",5.184000000000000,1814.6,11.1408,8.320000000000000,91.18980000000000,115.8,0.0714285714285727,3.9609,1.724,1.96,0.419355,13.380,5.4,-41.76
"('Ti', 'Zr', 'Nb', 'Au', 'In')",5.01,1714.0,12.2928,9.242,108.7574,122.8,0.054794520547946,3.93542,1.758,2.035,0.419,13.380,5.4,-27.68
"('Ti', 'Zr', 'Nb', 'Au', 'La')",5.4000000000000000,1866.6,13.618,9.010000000000000,113.57540000000000,121.4,0.139874410574923,3.92572,1.622,2.241,0.333,13.380,5.4,-24.16
"('Ti', 'Zr', 'Nb', 'Al', 'In')",4.926,1633.2,12.2508,5.922,74.75980000000000,120.4,0.0773300605948617,3.42422,1.572,1.838,0.419,13.380,3.8,-15.04
"('Ti', 'Zr', 'Nb', 'Al', 'La')",5.316,1785.8,13.576000000000000,5.69,79.5778,119.0,0.155129291086207,3.41452,1.436,2.044,0.333,13.380,3.8,-8.8
"('Ti', 'Zr', 'Nb', 'In', 'La')",5.1420000000000000,1685.2,14.728,6.612,97.1454,126.0,0.122726072339652,3.38904,1.47,2.119,0.333,13.380,3.8,3.36
"('Ti', 'Zr', 'Mo', 'Tc', 'Ru')",6.312,2395.2,10.168800000000000,8.864,86.80360000000000,111.0,0.0610093990570385,3.8041,1.826,2.136,0.419355,13.380,5.8,-36.64
"('Ti', 'Zr', 'Mo', 'Tc', 'Ta')",6.5840000000000000,2533.2,10.704800000000000,9.724,102.77960000000000,114.2,0.0460642331993807,3.7508,1.686,2.173,0.419355,13.380,5.2,-23.84
"('Ti', 'Zr', 'Mo', 'Tc', 'W')",6.744,2615.2,10.4288,10.293200000000000,103.3576,113.4,0.0526993998137181,3.8311,1.858,2.162,0.419355,13.380,5.4,-21.6
"('Ti', 'Zr', 'Mo', 'Tc', 'Ir')",6.352,2415.2,10.238800000000000,10.9558,105.0336,111.8,0.0526993998137181,4.0169,1.826,2.1406,0.419355,13.380,6.0,-43.04
"('Ti', 'Zr', 'Mo', 'Tc', 'Au')",5.726,2146.0,10.576800000000000,10.304000000000000,105.9836,115.0,0.0526993998137181,4.1173,1.894,2.147,0.419355,13.380,6.4,-34.72
"('Ti', 'Zr', 'Mo', 'Tc', 'Al')",5.642,2065.2,10.5348,6.984,71.98600000000000,112.6,0.0714285714285727,3.6061,1.708,1.95,0.419355,13.380,4.8,-33.92
"('Ti', 'Zr', 'Mo', 'Tc', 'In')",5.468,1964.6,11.686800000000000,7.906000000000000,89.55360000000000,119.6,0.054794520547946,3.58062,1.742,2.025,0.419,13.380,4.8,-15.84
"('Ti', 'Zr', 'Mo', 'Tc', 'La')",5.858,2117.2,13.012,7.6740000000000000,94.37160000000000,118.2,0.139874410574923,3.57092,1.606,2.231,0.333,13.380,4.8,-11.52
"('Ti', 'Zr', 'Mo', 'Ru', 'Ta')",6.562,2560.8,10.612800000000000,9.944000000000000,103.41220000000000,112.8,0.0568114573750751,3.8084,1.746,2.164,0.419355,13.380,5.4,-26.56
"('Ti', 'Zr', 'Mo', 'Ru', 'W')",6.7220000000000000,2642.8,10.3368,10.513200000000000,103.9902,112.0,0.0610093990570385,3.8887,1.918,2.153,0.419355,13.380,5.6,-24.16
"('Ti', 'Zr', 'Mo', 'Ru', 'Ir')",6.33,2442.8,10.146800000000000,11.1758,105.6662,110.4,0.0610093990570385,4.0745,1.886,2.1316,0.419355,13.380,6.2,-44.96
"('Ti', 'Zr', 'Mo', 'Ru', 'Au')",5.704,2173.6,10.484800000000000,10.524000000000000,106.6162,113.6,0.0610093990570385,4.1749,1.954,2.138,0.419355,13.380,6.6,-36.64
"('Ti', 'Zr', 'Mo', 'Ru', 'Al')",5.62,2092.8,10.442800000000000,7.204000000000000,72.61860000000000,111.2,0.0768135126045406,3.6637,1.768,1.941,0.419355,13.380,5.0,-36.16
"('Ti', 'Zr', 'Mo', 'Ru', 'In')",5.446,1992.2,11.594800000000000,8.126000000000000,90.1862,118.2,0.0654264343483117,3.63822,1.802,2.016,0.419,13.380,5.0,-18.08
"('Ti', 'Zr', 'Mo', 'Ru', 'La')",5.836,2144.8,12.920000000000000,7.894,95.0042,116.8,0.147022508224863,3.62852,1.666,2.222,0.333,13.380,5.0,-14.4
"('Ti', 'Zr', 'Mo', 'Ta', 'W')",6.994,2780.8,10.872800000000000,11.3732,119.9662,115.2,0.0460642331993807,3.8354,1.778,2.19,0.419355,13.380,5.0,-5.28
"('Ti', 'Zr', 'Mo', 'Ta', 'Ir')",6.602000000000000,2580.8,10.6828,12.0358,121.6422,113.6,0.0460642331993807,4.0212,1.746,2.1686,0.419355,13.380,5.6,-34.72
"('Ti', 'Zr', 'Mo', 'Ta', 'Au')",5.976,2311.6,11.020800000000000,11.384,122.5922,116.8,0.0460642331993807,4.1216,1.814,2.175,0.419355,13.380,6.0,-25.76
"('Ti', 'Zr', 'Mo', 'Ta', 'Al')",5.892,2230.8,10.978800000000000,8.064,88.59460000000000,114.4,0.0689997110643155,3.6104,1.628,1.978,0.419355,13.380,4.4,-17.44
"('Ti', 'Zr', 'Mo', 'Ta', 'In')",5.718,2130.2,12.1308,8.986,106.16220000000000,121.4,0.0405405405405418,3.58492,1.662,2.053,0.419,13.380,4.4,0.8
"('Ti', 'Zr', 'Mo', 'Ta', 'La')",6.108,2282.8,13.456,8.754,110.9802,120.0,0.12884455924514,3.57522,1.526,2.259,0.333,13.380,4.4,13.76
"('Ti', 'Zr', 'Mo', 'W', 'Ir')",6.762000000000000,2662.8,10.4068,12.605000000000000,122.2202,112.8,0.0526993998137181,4.1015,1.918,2.1576,0.419355,13.380,5.8,-31.2
"('Ti', 'Zr', 'Mo', 'W', 'Au')",6.136000000000000,2393.6,10.744800000000000,11.953200000000000,123.1702,116.0,0.0526993998137181,4.2019,1.986,2.164,0.419355,13.380,6.2,-20.96
"('Ti', 'Zr', 'Mo', 'W', 'Al')",6.052,2312.8,10.7028,8.633200000000000,89.17260000000000,113.6,0.0714285714285727,3.6907,1.8,1.967,0.419355,13.380,4.6,-16.96
"('Ti', 'Zr', 'Mo', 'W', 'In')",5.878000000000000,2212.2,11.854800000000000,9.5552,106.7402,120.6,0.054794520547946,3.66522,1.834,2.042,0.419,13.380,4.6,2.56
"('Ti', 'Zr', 'Mo', 'W', 'La')",6.268000000000000,2364.8,13.180000000000000,9.323200000000000,111.55820000000000,119.2,0.139874410574923,3.65552,1.698,2.248,0.333,13.380,4.6,11.36
"('Ti', 'Zr', 'Mo', 'Ir', 'Au')",5.744,2193.6,10.554800000000000,12.615800000000000,124.8462,114.4,0.0526993998137181,4.3877,1.954,2.1426,0.419355,13.380,6.8,-43.04
"('Ti', 'Zr', 'Mo', 'Ir', 'Al')",5.66,2112.8,10.512800000000000,9.2958,90.84860000000000,112.0,0.0714285714285727,3.8765,1.768,1.9456,0.419355,13.380,5.2,-43.68
"('Ti', 'Zr', 'Mo', 'Ir', 'In')",5.486,2012.2,11.664800000000000,10.2178,108.41620000000000,119.0,0.054794520547946,3.85102,1.802,2.0206,0.419,13.380,5.2,-25.76
"('Ti', 'Zr', 'Mo', 'Ir', 'La')",5.8760000000000000,2164.8,12.99,9.9858,113.23420000000000,117.6,0.139874410574923,3.84132,1.666,2.2266,0.333,13.380,5.2,-23.68
"('Ti', 'Zr', 'Mo', 'Au', 'Al')",5.034,1843.6,10.850800000000000,8.644,91.7986,115.2,0.0714285714285727,3.9769,1.836,1.952,0.419355,13.380,5.6,-36.64
"('Ti', 'Zr', 'Mo', 'Au', 'In')",4.860000000000000,1743.0,12.0028,9.566000000000000,109.36620000000000,122.2,0.054794520547946,3.95142,1.87,2.027,0.419,13.380,5.6,-21.76
"('Ti', 'Zr', 'Mo', 'Au', 'La')",5.250000000000000,1895.6,13.328,9.334,114.18420000000000,120.8,0.139874410574923,3.94172,1.734,2.233,0.333,13.380,5.6,-21.92
"('Ti', 'Zr', 'Mo', 'Al', 'In')",4.776,1662.2,11.9608,6.2460000000000000,75.3686,119.8,0.0773300605948617,3.44022,1.684,1.83,0.419,13.380,4.0,-12.64
"('Ti', 'Zr', 'Mo', 'Al', 'La')",5.1660000000000000,1814.8,13.286000000000000,6.014,80.1866,118.4,0.155129291086207,3.43052,1.548,2.036,0.333,13.380,4.0,-10.08
"('Ti', 'Zr', 'Mo', 'In', 'La')",4.992000000000000,1714.2,14.438000000000000,6.936,97.7542,125.4,0.122726072339652,3.40504,1.582,2.111,0.333,13.380,4.0,2.88
